income,happy_score
2097,4.35
1449,4.033
7101,6.574
19457,7.2
19917,7.284
3382,5.212
1265,4.694
17169,6.937
871,3.587
5355,4.218
573,2.905
989,3.34
3986,5.89
5567,6.983
3485,4.332
5454,5.813
20191,7.427
23400,7.587
7558,6.67
1491,4.252
2674,5.14
4618,6.477
6901,7.226
10494,5.689
9431,6.505
19286,6.75
1875,4.369
17497,7.527
4431,4.885
3836,5.975
7907,5.429
13843,6.329
1051,4.512
17310,7.406
18097,6.575
2521,3.896
17100,6.867
1957,4.297
1577,4.633
11508,4.857
3080,4.788
7828,5.759
6904,4.8
1542,5.399
16658,6.94
10645,7.278
1358,4.565
5215,4.686
18828,7.561
15438,5.948
14543,5.987
1493,4.419
1853,5.286
1869,3.819
2627,5.589
3555,5.855
1492,4.876
2558,4.271
653,4.571
909,4.898
6789,5.833
26182,6.946
6723,5.098
2865,5.013
3077,5.889
574,3.681
903,3.995
3182,4.874
1923,4.436
4121,5.477
4148,7.187
7287,5.77
715,4.971
718,3.845
910,5.268
2419,5.828
18234,7.378
21878,7.522
1428,4.514
6250,6.786
4313,5.824
2224,5.073
1464,5.194
6582,5.791
9983,5.102
4939,5.878
3174,5.124
4630,5.123
7647,5.716
947,3.465
17033,7.364
12175,5.848
7986,5.995
850,4.507
1135,3.904
3411,6.13
1178,3.667
936,2.839
4793,6.455
1497,4.786
3251,4.739
5243,5.332
941,3.781
4130,4.681
1126,3.931
23127,7.119
7544,6.485
2231,5.36
3889,4.642
957,5.129
1769,4.61